f,u,n,d,a,&,f,d,n,d,a,#,f,d,n,d,a,$,COPY	f,u,n,d,a
l,h,y,l,e,k,e,i,w,a,&,l,y,y,u,g,w,e,i,f,a,#,l,y,y,u,g,w,e,i,f,a,$,COPY	l,h,y,l,e,k,e,i,w,a
l,h,y,l,e,k,e,i,w,a,&,l,h,u,l,a,k,e,e,w,a,#,n,g,a,l,h,u,l,a,k,e,e,w,a,$,V,SG,1,PST+RMT	n,g,a,l,h,y,l,e,k,e,i,w,a
l,i,a,&,l,i,u,#,l,i,u,$,COPY	l,i,a
l,i,a,&,q,i,a,#,n,g,i,q,i,a,$,V,SG,1,PRS	n,g,i,l,i,a
v,w,n,&,c,w,n,#,c,w,n,$,COPY	v,w,n
v,w,n,&,i,w,n,#,n,g,a,i,w,n,$,V,SG,1,PST+RMT	n,g,a,v,w,n
y,h,i,&,y,u,i,#,y,u,i,$,COPY	y,h,i
y,h,i,&,y,v,c,#,n,g,i,y,o,k,u,y,v,c,$,V,SG,1,FUT	n,g,i,y,o,k,u,y,h,i
l,g,a,&,l,m,a,#,n,g,i,z,o,k,u,l,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,l,g,a
s,u,s,u,j,a,&,s,u,i,u,j,a,#,s,u,i,u,j,a,$,COPY	s,u,s,u,j,a
s,u,s,u,j,a,&,s,o,s,u,j,a,#,n,g,i,s,o,s,u,j,a,$,V,SG,1,PRS	n,g,i,s,u,s,u,j,a
s,s,d,u,y,a,&,s,s,d,g,y,a,#,s,s,d,g,y,a,$,COPY	s,s,d,u,y,a
s,s,d,u,y,a,&,s,s,d,u,l,a,#,n,g,a,s,s,d,u,l,a,$,V,SG,1,PST+RMT	n,g,a,s,s,d,u,y,a
e,c,d,f,m,a,&,e,d,d,f,m,a,#,e,d,d,f,m,a,$,COPY	e,c,d,f,m,a
e,c,d,f,m,a,&,e,c,w,f,y,a,#,n,g,i,e,c,w,f,y,e,$,V,SG,1,PST+RCT	n,g,i,e,c,d,f,m,e
s,o,a,i,f,a,&,s,o,a,a,f,a,#,s,o,a,a,f,a,$,COPY	s,o,a,i,f,a
s,o,a,i,f,a,&,s,o,a,q,f,a,#,n,g,i,z,o,s,o,a,q,f,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,s,o,a,i,f,a
s,u,q,u,m,a,&,s,u,n,u,m,a,#,n,g,i,y,o,s,u,n,u,m,a,$,V,SG,1,FUT	n,g,i,y,o,s,u,q,u,m,a
p,h,p,l,t,s,l,a,&,p,h,p,l,f,s,l,a,#,p,h,p,l,f,s,l,a,$,COPY	p,h,p,l,t,s,l,a
p,h,p,l,t,s,l,a,&,p,h,p,l,t,y,l,a,#,n,g,i,p,h,p,l,t,y,l,a,$,V,SG,1,PRS	n,g,i,p,h,p,l,t,s,l,a
p,h,e,e,d,u,l,a,&,p,h,l,e,d,u,l,a,#,p,h,l,e,d,u,l,a,$,COPY	p,h,e,e,d,u,l,a
p,h,e,e,d,u,l,a,&,p,h,e,e,y,u,l,a,#,n,g,i,p,h,e,e,y,u,l,e,$,V,SG,1,PST+RCT	n,g,i,p,h,e,e,d,u,l,e
p,h,v,e,d,a,l,a,&,p,h,v,h,d,a,l,a,#,p,h,v,h,d,a,l,a,$,COPY	p,h,v,e,d,a,l,a
p,h,v,e,d,a,l,a,&,p,v,v,e,d,a,l,a,#,n,g,i,y,o,p,v,v,e,d,a,l,a,$,V,SG,1,FUT	n,g,i,y,o,p,h,v,e,d,a,l,a
p,h,a,e,d,u,g,a,&,p,h,v,e,g,u,g,a,#,p,h,v,e,g,u,g,a,$,COPY	p,h,a,e,d,u,g,a
p,h,a,e,d,u,g,a,&,p,o,a,e,g,u,g,a,#,n,g,i,z,o,p,o,a,e,g,u,g,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,a,e,d,u,g,a
p,h,e,e,d,u,l,a,&,p,h,z,e,d,u,l,a,#,n,g,a,p,h,z,e,d,u,l,a,$,V,SG,1,PST+RMT	n,g,a,p,h,e,e,d,u,l,a
w,o,g,d,v,&,w,o,t,d,b,#,w,o,t,d,b,$,COPY	w,o,g,d,v
w,o,g,d,v,&,i,o,l,d,v,#,n,g,i,y,o,i,o,l,d,v,$,V,SG,1,FUT	n,g,i,y,o,w,o,g,d,v
q,k,b,f,a,&,q,k,b,l,a,#,q,k,b,l,a,$,COPY	q,k,b,f,a
q,k,b,f,a,&,q,k,n,f,a,#,n,g,i,q,k,n,f,e,$,V,SG,1,PST+RCT	n,g,i,q,k,b,f,e
q,h,p,l,a,&,q,h,p,d,a,#,q,h,p,d,a,$,COPY	q,h,p,l,a
q,h,p,l,a,&,q,h,p,l,u,#,n,g,i,y,a,q,h,p,l,u,$,V,SG,1,PRS	n,g,i,y,a,q,h,p,l,a
q,o,u,b,n,&,q,h,u,c,g,#,q,h,u,c,g,$,COPY	q,o,u,b,n
q,o,u,b,n,&,q,h,u,b,n,#,n,g,i,z,o,q,h,u,b,n,$,V,SG,1,FUT+IMMED	n,g,i,z,o,q,o,u,b,n
i,o,a,d,o,&,i,o,s,d,o,#,i,o,s,d,o,$,COPY	i,o,a,d,o
i,o,a,d,o,&,i,o,c,d,o,#,n,g,a,i,o,c,d,o,$,V,SG,1,PST+RMT	n,g,a,i,o,a,d,o
b,z,w,f,k,a,f,a,&,b,e,w,f,k,a,f,a,#,b,e,w,f,k,a,f,a,$,COPY	b,z,w,f,k,a,f,a
b,z,w,f,k,a,f,a,&,b,z,w,f,z,y,f,a,#,n,g,a,b,z,w,f,z,y,f,a,$,V,SG,1,PST+RMT	n,g,a,b,z,w,f,k,a,f,a
b,o,n,y,k,q,j,a,&,b,o,u,y,k,q,j,a,#,b,o,u,y,k,q,j,a,$,COPY	b,o,n,y,k,q,j,a
b,o,n,y,k,q,j,a,&,b,e,n,y,k,q,j,a,#,n,g,i,y,o,b,e,n,y,k,q,j,a,$,V,SG,1,FUT	n,g,i,y,o,b,o,n,y,k,q,j,a
b,u,n,a,t,s,i,a,&,b,t,n,a,t,e,i,a,#,b,t,n,a,t,e,i,a,$,COPY	b,u,n,a,t,s,i,a
b,u,n,a,t,s,i,a,&,b,u,n,a,t,s,l,a,#,n,g,i,b,u,n,a,t,s,l,a,$,V,SG,1,PRS	n,g,i,b,u,n,a,t,s,i,a
b,f,q,a,z,g,l,a,&,b,f,z,f,o,p,l,a,#,b,f,z,f,o,p,l,a,$,COPY	b,f,q,a,z,g,l,a
b,f,q,a,z,g,l,a,&,b,f,t,a,p,g,l,a,#,n,g,i,z,o,b,f,t,a,p,g,l,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,b,f,q,a,z,g,l,a
b,p,g,a,v,n,l,a,&,b,p,g,a,b,n,l,a,#,b,p,g,a,b,n,l,a,$,COPY	b,p,g,a,v,n,l,a
b,p,g,a,v,n,l,a,&,b,p,g,v,o,n,l,a,#,n,g,i,b,p,g,v,o,n,l,e,$,V,SG,1,PST+RCT	n,g,i,b,p,g,a,v,n,l,e
c,h,w,i,f,s,a,&,c,h,h,i,f,s,a,#,c,h,h,i,f,s,a,$,COPY	c,h,w,i,f,s,a
c,h,w,i,f,s,a,&,c,k,k,i,f,s,a,#,n,g,i,c,k,k,i,f,s,e,$,V,SG,1,PST+RCT	n,g,i,c,h,w,i,f,s,e
c,h,a,y,y,t,a,&,c,h,a,y,u,t,a,#,c,h,a,y,u,t,a,$,COPY	c,h,a,y,y,t,a
c,h,a,y,y,t,a,&,c,h,a,y,z,w,a,#,n,g,i,c,h,a,y,z,w,a,$,V,SG,1,PRS	n,g,i,c,h,a,y,y,t,a
c,h,p,s,k,m,a,&,c,v,p,s,y,m,a,#,c,v,p,s,y,m,a,$,COPY	c,h,p,s,k,m,a
c,h,p,s,k,m,a,&,c,h,d,s,k,m,a,#,n,g,a,c,h,d,s,k,m,a,$,V,SG,1,PST+RMT	n,g,a,c,h,p,s,k,m,a
c,h,y,t,a,s,a,&,c,h,y,t,p,s,a,#,c,h,y,t,p,s,a,$,COPY	c,h,y,t,a,s,a
c,h,y,t,a,s,a,&,c,h,u,t,a,s,a,#,n,g,i,z,o,c,h,u,t,a,s,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,c,h,y,t,a,s,a
c,h,j,s,i,p,a,&,c,h,j,s,u,p,a,#,c,h,j,s,u,p,a,$,COPY	c,h,j,s,i,p,a
c,h,j,s,i,p,a,&,c,h,h,i,u,d,a,#,n,g,i,y,o,c,h,h,i,u,d,a,$,V,SG,1,FUT	n,g,i,y,o,c,h,j,s,i,p,a
h,l,a,u,g,a,c,a,&,h,l,a,w,g,y,k,a,#,h,l,a,w,g,y,k,a,$,COPY	h,l,a,u,g,a,c,a
h,l,a,u,g,a,c,a,&,h,l,a,u,g,a,z,a,#,n,g,i,h,l,a,u,g,a,z,a,$,V,SG,1,PRS	n,g,i,h,l,a,u,g,a,c,a
h,l,a,j,g,f,n,a,&,h,l,a,j,g,e,n,a,#,h,l,a,j,g,e,n,a,$,COPY	h,l,a,j,g,f,n,a
h,l,a,j,g,f,n,a,&,h,l,a,j,g,i,n,a,#,n,g,i,h,l,a,j,g,i,n,e,$,V,SG,1,PST+RCT	n,g,i,h,l,a,j,g,f,n,e
h,l,c,y,g,c,n,a,&,h,l,v,y,g,w,n,a,#,h,l,v,y,g,w,n,a,$,COPY	h,l,c,y,g,c,n,a
h,l,c,y,g,c,n,a,&,h,s,c,g,g,c,n,a,#,n,g,i,y,o,h,s,c,g,g,c,n,a,$,V,SG,1,FUT	n,g,i,y,o,h,l,c,y,g,c,n,a
h,l,a,n,g,i,s,a,&,h,q,a,n,g,i,s,a,#,h,q,a,n,g,i,s,a,$,COPY	h,l,a,n,g,i,s,a
h,l,a,n,g,i,s,a,&,h,m,a,n,f,i,u,a,#,n,g,a,h,m,a,n,f,i,u,a,$,V,SG,1,PST+RMT	n,g,a,h,l,a,n,g,i,s,a
h,l,a,j,i,a,n,a,&,h,l,a,j,i,d,j,a,#,h,l,a,j,i,d,j,a,$,COPY	h,l,a,j,i,a,n,a
h,l,a,j,i,a,n,a,&,h,l,p,j,i,a,n,a,#,n,g,i,z,o,h,l,p,j,i,a,n,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,h,l,a,j,i,a,n,a
t,q,j,y,a,&,q,u,j,m,a,#,q,u,j,m,a,$,COPY	t,q,j,y,a
t,q,j,y,a,&,t,y,j,t,m,#,n,g,i,y,o,t,y,j,t,m,$,V,SG,1,FUT	n,g,i,y,o,t,q,j,y,a
p,h,u,m,f,&,p,h,p,m,f,#,p,h,p,m,f,$,COPY	p,h,u,m,f
p,h,u,m,f,&,p,c,h,m,a,#,n,g,i,p,c,h,m,a,$,V,SG,1,PRS	n,g,i,p,h,u,m,f
y,h,v,m,a,&,y,n,v,m,a,#,y,n,v,m,a,$,COPY	y,h,v,m,a
y,h,v,m,a,&,y,h,v,m,b,#,n,g,a,y,h,v,m,b,$,V,SG,1,PST+RMT	n,g,a,y,h,v,m,a
h,g,z,n,a,&,p,f,z,n,a,#,p,f,z,n,a,$,COPY	h,g,z,n,a
h,g,z,n,a,&,o,g,k,n,a,#,n,g,i,o,g,k,n,e,$,V,SG,1,PST+RCT	n,g,i,h,g,z,n,e
p,t,u,m,a,&,p,t,u,m,y,#,p,t,u,m,y,$,COPY	p,t,u,m,a
p,t,u,m,a,&,p,t,f,m,a,#,n,g,i,z,o,p,t,f,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,t,u,m,a
z,a,a,&,y,a,a,#,n,g,i,y,o,k,u,y,a,a,$,V,SG,1,FUT	n,g,i,y,o,k,u,z,a,a
z,t,u,&,z,h,u,#,z,h,u,$,COPY	z,t,u
z,t,u,&,a,y,u,#,n,g,a,a,y,u,$,V,SG,1,PST+RMT	n,g,a,z,t,u
z,w,a,&,z,w,u,#,n,g,i,y,e,z,w,u,$,V,SG,1,PRS	n,g,i,y,e,z,w,a
z,w,a,&,z,w,m,#,n,g,i,z,o,k,u,z,w,m,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,u,z,w,a
l,g,l,e, ,p,h,s,g,s,i,&,l,g,l,i, ,p,h,s,g,s,i,#,l,g,l,i, ,p,h,s,g,s,i,$,COPY	l,g,l,e, ,p,h,s,g,s,i
l,g,l,e, ,p,h,s,g,s,i,&,l,g,l,o, ,p,h,s,g,s,i,#,n,g,i,y,o,l,g,l,o, ,p,h,s,g,s,i,$,V,SG,1,FUT	n,g,i,y,o,l,g,l,e, ,p,h,s,g,s,i
l,w,l,q, ,p,s,a,n,p,i,&,l,p,l,v, ,p,s,a,n,p,i,#,l,p,l,v, ,p,s,a,n,p,i,$,COPY	l,w,l,q, ,p,s,a,n,p,i
l,w,l,q, ,p,s,a,n,p,i,&,l,w,u,w, ,p,s,a,n,p,i,#,n,g,a,l,w,u,w, ,p,s,a,n,p,i,$,V,SG,1,PST+RMT	n,g,a,l,w,l,q, ,p,s,a,n,p,i
l,a,l,a, ,p,h,d,b,o,i,&,l,d,l,b, ,p,h,d,b,o,i,#,l,d,l,b, ,p,h,d,b,o,i,$,COPY	l,a,l,a, ,p,h,d,b,o,i
l,a,l,a, ,p,h,d,b,o,i,&,l,a,l,a, ,p,h,d,e,f,i,#,n,g,i,l,e,l,e, ,p,h,d,e,f,i,$,V,SG,1,PST+RCT	n,g,i,l,e,l,e, ,p,h,d,b,o,i
l,q,d,b, ,p,v,e,n,g,i,&,d,q,d,z, ,p,v,e,n,g,i,#,d,q,d,z, ,p,v,e,n,g,i,$,COPY	l,q,d,b, ,p,v,e,n,g,i
l,q,d,b, ,p,v,e,n,g,i,&,l,q,v,b, ,p,v,e,n,g,i,#,n,g,i,z,o,l,q,v,b, ,p,v,e,n,g,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,q,d,b, ,p,v,e,n,g,i
l,a,l,a, ,p,h,h,n,s,i,&,l,a,m,a, ,p,h,h,n,s,i,#,l,a,m,a, ,p,h,h,n,s,i,$,COPY	l,a,l,a, ,p,h,h,n,s,i
l,a,l,a, ,p,h,h,n,s,i,&,l,c,l,a, ,p,h,h,n,s,i,#,n,g,i,l,c,l,a, ,p,h,h,n,s,i,$,V,SG,1,PRS	n,g,i,l,a,l,a, ,p,h,h,n,s,i
v,u,l,a,&,v,u,f,a,#,n,g,i,v,u,f,e,$,V,SG,1,PST+RCT	n,g,i,v,u,l,e
s,m,u,a,&,s,m,c,a,#,s,m,c,a,$,COPY	s,m,u,a
s,m,u,a,&,k,p,u,a,#,n,g,i,k,p,u,a,$,V,SG,1,PRS	n,g,i,s,m,u,a
v,z,g,y,&,v,y,g,y,#,v,y,g,y,$,COPY	v,z,g,y
v,z,g,y,&,p,z,v,y,#,n,g,a,p,z,v,y,$,V,SG,1,PST+RMT	n,g,a,v,z,g,y
v,u,b,a,&,v,u,k,e,#,v,u,k,e,$,COPY	v,u,b,a
v,u,b,a,&,v,u,b,g,#,n,g,i,y,o,v,u,b,g,$,V,SG,1,FUT	n,g,i,y,o,v,u,b,a
v,g,l,g,&,v,o,l,e,#,v,o,l,e,$,COPY	v,g,l,g
v,g,l,g,&,v,g,z,g,#,n,g,i,z,o,v,g,z,g,$,V,SG,1,FUT+IMMED	n,g,i,z,o,v,g,l,g
m,q,m,a,&,m,a,m,b,#,m,a,m,b,$,COPY	m,q,m,a
m,q,m,a,&,m,s,s,a,#,n,g,i,y,o,m,s,s,a,$,V,SG,1,FUT	n,g,i,y,o,m,q,m,a
v,f,z,n,&,v,f,z,f,#,v,f,z,f,$,COPY	v,f,z,n
v,f,z,n,&,s,f,z,n,#,n,g,a,s,f,z,n,$,V,SG,1,PST+RMT	n,g,a,v,f,z,n
k,z,l,a,&,z,z,e,a,#,z,z,e,a,$,COPY	k,z,l,a
k,z,l,a,&,e,z,l,l,#,n,g,i,e,z,l,l,$,V,SG,1,PRS	n,g,i,k,z,l,a
v,u,m,q,&,v,u,k,q,#,v,u,k,q,$,COPY	v,u,m,q
v,u,m,q,&,v,u,m,s,#,n,g,i,z,o,v,u,m,s,$,V,SG,1,FUT+IMMED	n,g,i,z,o,v,u,m,q
b,q,m,a,&,b,m,m,a,#,b,m,m,a,$,COPY	b,q,m,a
b,q,m,a,&,b,o,m,a,#,n,g,i,b,o,m,e,$,V,SG,1,PST+RCT	n,g,i,b,q,m,e
e,u,a,d,a,&,e,u,o,t,m,#,e,u,o,t,m,$,COPY	e,u,a,d,a
e,u,a,d,a,&,e,u,a,y,a,#,n,g,i,y,o,e,u,a,y,a,$,V,SG,1,FUT	n,g,i,y,o,e,u,a,d,a
i,u,n,u,g,&,i,u,j,u,g,#,i,u,j,u,g,$,COPY	i,u,n,u,g
i,u,n,u,g,&,i,j,n,u,g,#,n,g,i,i,j,n,u,g,$,V,SG,1,PRS	n,g,i,i,u,n,u,g
f,u,t,d,a,&,j,u,t,d,i,#,n,g,i,z,o,j,u,t,d,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,f,u,t,d,a
i,u,n,d,a,&,i,n,n,p,a,#,i,n,n,p,a,$,COPY	i,u,n,d,a
i,u,n,d,a,&,m,u,n,k,a,#,n,g,i,m,u,n,k,e,$,V,SG,1,PST+RCT	n,g,i,i,u,n,d,e
f,u,n,s,p,&,f,u,n,m,p,#,f,u,n,m,p,$,COPY	f,u,n,s,p
f,u,n,s,p,&,z,u,n,s,p,#,n,g,a,z,u,n,s,p,$,V,SG,1,PST+RMT	n,g,a,f,u,n,s,p
p,h,w,n,d,a,&,p,h,w,n,g,a,#,n,g,a,p,h,w,n,g,a,$,V,SG,1,PST+RMT	n,g,a,p,h,w,n,d,a
p,h,u,u,m,a,&,p,h,u,c,m,a,#,p,h,u,c,m,a,$,COPY	p,h,u,u,m,a
p,h,u,u,m,a,&,p,h,u,p,m,a,#,n,g,i,z,o,p,h,u,p,m,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,p,h,u,u,m,a
p,p,i,d,d,a,&,p,m,u,d,d,a,#,p,m,u,d,d,a,$,COPY	p,p,i,d,d,a
p,p,i,d,d,a,&,p,p,i,j,f,a,#,n,g,i,y,o,p,p,i,j,f,a,$,V,SG,1,FUT	n,g,i,y,o,p,p,i,d,d,a
p,h,i,n,c,a,&,p,h,i,n,u,a,#,n,g,i,p,h,i,n,u,a,$,V,SG,1,PRS	n,g,i,p,h,i,n,c,a
g,h,i,u,a,a,&,g,a,i,u,a,a,#,g,a,i,u,a,a,$,COPY	g,h,i,u,a,a
g,h,i,u,a,a,&,g,h,z,u,a,a,#,n,g,i,g,h,z,u,a,e,$,V,SG,1,PST+RCT	n,g,i,g,h,i,u,a,e
v,a,l,a,&,v,q,l,a,#,n,g,i,v,q,l,e,$,V,SG,1,PST+RCT	n,g,i,v,a,l,e
v,c,l,a,&,v,i,l,a,#,n,g,i,v,i,l,a,$,V,SG,1,PRS	n,g,i,v,c,l,a
v,a,l,o,&,o,a,l,u,#,o,a,l,u,$,COPY	v,a,l,o
v,a,l,o,&,v,a,l,a,#,n,g,a,v,a,l,a,$,V,SG,1,PST+RMT	n,g,a,v,a,l,o
v,a,m,a,&,v,b,i,u,#,n,g,i,y,o,v,b,i,u,$,V,SG,1,FUT	n,g,i,y,o,v,a,m,a
v,a,j,a,&,v,w,j,a,#,v,w,j,a,$,COPY	v,a,j,a
v,a,j,a,&,v,a,c,a,#,n,g,i,z,o,v,a,c,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,v,a,j,a
k,h,u,m,b,h,l,a,&,k,h,u,m,b,y,l,a,#,k,h,u,m,b,y,l,a,$,COPY	k,h,u,m,b,h,l,a
k,h,u,m,b,h,l,a,&,k,n,u,m,b,h,l,a,#,n,g,i,k,n,u,m,b,h,l,e,$,V,SG,1,PST+RCT	n,g,i,k,h,u,m,b,h,l,e
k,a,u,e,b,u,l,a,&,k,a,t,e,b,u,l,a,#,k,a,t,e,b,u,l,a,$,COPY	k,a,u,e,b,u,l,a
k,a,u,e,b,u,l,a,&,k,t,u,e,b,u,e,a,#,n,g,a,k,t,u,e,b,u,e,a,$,V,SG,1,PST+RMT	n,g,a,k,a,u,e,b,u,l,a
k,h,m,t,l,u,l,a,&,k,h,m,t,l,p,l,a,#,k,h,m,t,l,p,l,a,$,COPY	k,h,m,t,l,u,l,a
k,h,m,t,l,u,l,a,&,k,m,m,t,l,c,n,a,#,n,g,i,y,a,k,m,m,t,l,c,n,a,$,V,SG,1,PRS	n,g,i,y,a,k,h,m,t,l,u,l,a
k,h,c,m,b,u,u,a,&,k,h,c,n,b,u,s,a,#,k,h,c,n,b,u,s,a,$,COPY	k,h,c,m,b,u,u,a
k,h,c,m,b,u,u,a,&,k,h,o,m,b,u,u,a,#,n,g,i,y,o,k,h,o,m,b,u,u,a,$,V,SG,1,FUT	n,g,i,y,o,k,h,c,m,b,u,u,a
k,z,d,m,b,u,u,a,&,k,z,i,m,m,u,u,a,#,k,z,i,m,m,u,u,a,$,COPY	k,z,d,m,b,u,u,a
k,z,d,m,b,u,u,a,&,k,z,u,j,b,u,h,a,#,n,g,i,z,o,k,z,u,j,b,u,h,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,k,z,d,m,b,u,u,a
t,t,e,n,q,a,&,t,t,v,n,o,a,#,t,t,v,n,o,a,$,COPY	t,t,e,n,q,a
t,t,e,n,q,a,&,t,t,e,g,q,a,#,n,g,i,z,o,t,t,e,g,q,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,t,e,n,q,a
u,d,b,n,n,a,&,u,d,b,n,f,a,#,u,d,b,n,f,a,$,COPY	u,d,b,n,n,a
u,d,b,n,n,a,&,u,d,f,n,b,a,#,n,g,i,u,d,f,n,b,e,$,V,SG,1,PST+RCT	n,g,i,u,d,b,n,n,e
t,a,f,q,g,a,&,t,a,f,q,u,a,#,t,a,f,q,u,a,$,COPY	t,a,f,q,g,a
t,a,f,q,g,a,&,t,s,f,q,g,a,#,n,g,a,t,s,f,q,g,a,$,V,SG,1,PST+RMT	n,g,a,t,a,f,q,g,a
t,h,e,q,p,a,&,t,t,e,q,p,a,#,t,t,e,q,p,a,$,COPY	t,h,e,q,p,a
t,h,e,q,p,a,&,t,k,e,q,p,a,#,n,g,i,t,k,e,q,p,a,$,V,SG,1,PRS	n,g,i,t,h,e,q,p,a
t,h,w,s,g,a,&,t,h,w,b,g,a,#,t,h,w,b,g,a,$,COPY	t,h,w,s,g,a
t,h,w,s,g,a,&,t,h,k,t,g,a,#,n,g,i,y,o,t,h,k,t,g,a,$,V,SG,1,FUT	n,g,i,y,o,t,h,w,s,g,a
m,w,m,j,&,h,w,m,j,#,h,w,m,j,$,COPY	m,w,m,j
m,w,m,j,&,m,w,d,j,#,n,g,i,m,w,d,j,$,V,SG,1,PRS	n,g,i,m,w,m,j
m,e,m,o,&,m,e,m,n,#,n,g,a,m,e,m,n,$,V,SG,1,PST+RMT	n,g,a,m,e,m,o
m,e,m,a,&,m,e,m,o,#,n,g,i,z,o,m,e,m,o,$,V,SG,1,FUT+IMMED	n,g,i,z,o,m,e,m,a
m,m,p,a,&,m,m,p,f,#,m,m,p,f,$,COPY	m,m,p,a
m,m,p,a,&,w,q,p,a,#,n,g,i,w,q,p,e,$,V,SG,1,PST+RCT	n,g,i,m,m,p,e
h,t,w,a,&,h,t,w,o,#,h,t,w,o,$,COPY	h,t,w,a
h,t,w,a,&,q,t,j,a,#,n,g,i,y,o,q,t,j,a,$,V,SG,1,FUT	n,g,i,y,o,h,t,w,a
n,p,k,b,a,&,n,p,k,k,a,#,n,p,k,k,a,$,COPY	n,p,k,b,a
n,p,k,b,a,&,n,p,k,b,w,#,n,g,i,y,a,n,p,k,b,w,$,V,SG,1,PRS	n,g,i,y,a,n,p,k,b,a
n,q,o,b,h,&,n,h,v,b,h,#,n,g,a,n,h,v,b,h,$,V,SG,1,PST+RMT	n,g,a,n,q,o,b,h
l,q,o,s,y,&,l,q,o,o,y,#,l,q,o,o,y,$,COPY	l,q,o,s,y
l,q,o,s,y,&,l,q,o,u,y,#,n,g,i,y,o,l,q,o,u,y,$,V,SG,1,FUT	n,g,i,y,o,l,q,o,s,y
a,o,k,b,a,&,k,o,a,b,a,#,k,o,a,b,a,$,COPY	a,o,k,b,a
a,o,k,b,a,&,u,o,g,b,a,#,n,g,i,u,o,g,b,e,$,V,SG,1,PST+RCT	n,g,i,a,o,k,b,e
j,q,d,e,a,&,j,q,d,e,b,#,j,q,d,e,b,$,COPY	j,q,d,e,a
j,q,d,e,a,&,w,z,l,p,i,#,n,g,i,z,o,w,z,l,p,i,$,V,SG,1,FUT+IMMED	n,g,i,z,o,j,q,d,e,a
m,h,s,&,z,h,s,#,z,h,s,$,COPY	m,h,s
m,h,s,&,b,h,s,#,n,g,i,z,o,b,h,s,$,V,SG,1,FUT+IMMED	n,g,i,z,o,m,h,s
z,v,o,&,z,j,o,#,z,j,o,$,COPY	z,v,o
z,v,o,&,z,v,a,#,n,g,i,y,a,z,v,a,$,V,SG,1,PRS	n,g,i,y,a,z,v,o
s,h,o,&,u,e,o,#,n,g,i,y,o,u,e,o,$,V,SG,1,FUT	n,g,i,y,o,s,h,o
s,h,q,&,s,g,q,#,s,g,q,$,COPY	s,h,q
s,h,q,&,k,h,q,#,n,g,a,k,h,q,$,V,SG,1,PST+RMT	n,g,a,s,h,q
t,h,a,t,d,a,&,t,h,a,t,e,a,#,n,g,i,t,h,a,t,e,a,$,V,SG,1,PRS	n,g,i,t,h,a,t,d,a
t,h,a,t,h,a,&,t,h,w,y,y,a,#,n,g,i,t,h,w,y,y,e,$,V,SG,1,PST+RCT	n,g,i,t,h,a,t,h,e
t,h,a,i,h,a,&,t,h,a,i,c,a,#,t,h,a,i,c,a,$,COPY	t,h,a,i,h,a
t,h,a,i,h,a,&,t,f,a,i,h,a,#,n,g,a,t,f,a,i,h,a,$,V,SG,1,PST+RMT	n,g,a,t,h,a,i,h,a
t,h,a,t,b,a,&,t,h,a,t,j,a,#,n,g,i,z,o,t,h,a,t,j,a,$,V,SG,1,FUT+IMMED	n,g,i,z,o,t,h,a,t,b,a
t,t,a,t,u,a,&,t,t,a,l,o,a,#,t,t,a,l,o,a,$,COPY	t,t,a,t,u,a
t,t,a,t,u,a,&,t,t,a,t,s,a,#,n,g,i,y,o,t,t,a,t,s,a,$,V,SG,1,FUT	n,g,i,y,o,t,t,a,t,u,a
l,i,n,k,a,&,l,i,n,k,o,#,l,i,n,k,o,$,COPY	l,i,n,k,a
l,i,n,k,a,&,a,p,n,k,a,#,n,g,i,a,p,n,k,e,$,V,SG,1,PST+RCT	n,g,i,l,i,n,k,e
f,i,n,l,v,&,f,e,s,b,v,#,f,e,s,b,v,$,COPY	f,i,n,l,v
f,i,n,l,v,&,v,u,n,k,v,#,n,g,i,y,a,v,u,n,k,v,$,V,SG,1,PRS	n,g,i,y,a,f,i,n,l,v
v,i,n,v,h,&,v,i,n,u,h,#,v,i,n,u,h,$,COPY	v,i,n,v,h
v,i,n,v,h,&,j,i,n,v,h,#,n,g,a,j,i,n,v,h,$,V,SG,1,PST+RMT	n,g,a,v,i,n,v,h
l,i,e,d,s,&,l,i,o,d,s,#,l,i,o,d,s,$,COPY	l,i,e,d,s
l,i,e,d,s,&,l,i,e,g,s,#,n,g,i,z,o,l,i,e,g,s,$,V,SG,1,FUT+IMMED	n,g,i,z,o,l,i,e,d,s
l,i,n,k,z,&,u,i,n,k,z,#,u,i,n,k,z,$,COPY	l,i,n,k,z
l,i,n,k,z,&,l,b,t,k,z,#,n,g,i,y,o,l,b,t,k,z,$,V,SG,1,FUT	n,g,i,y,o,l,i,n,k,z
d,k,h,u,a,&,d,e,h,v,a,#,d,e,h,v,a,$,COPY	d,k,h,u,a
