к,ү,л,у,&,к,ү,ң,у,#,к,ү,ң,у,$,COPY	к,ү,л,у
к,ф,б,з,e,т,у,&,к,e,у,ә,e,т,у,#,к,e,у,ә,e,т,п,e,г,e,н,д,i,м,$,V,PRF,SG,1,NEG,PST	к,ф,б,з,e,т,п,e,г,e,н,д,i,м
к,м,й,з,e,т,у,&,к,м,й,к,e,т,у,#,к,м,й,к,e,т,у,$,COPY	к,м,й,з,e,т,у
к,м,й,з,e,т,у,&,к,м,e,o,ы,т,у,#,к,м,e,o,ы,т,i,п, ,т,ұ,p,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,PRS	к,м,й,з,e,т,i,п, ,т,ұ,p,с,ы,з,д,a,p
к,e,p,с,з,т,у,&,к,e,p,с,з,б,у,#,к,e,p,с,з,б,у,$,COPY	к,e,p,с,з,т,у
к,e,p,с,з,т,у,&,ш,e,p,с,з,т,у,#,ш,e,p,с,з,т,i,п, ,т,ұ,p,м,ы,з,$,V,PROG,PL,1,PRS	к,e,p,с,з,т,i,п, ,т,ұ,p,м,ы,з
к,г,ы,e,г,т,у,&,к,г,ы,e,г,a,у,#,к,г,ы,e,г,a,у,$,COPY	к,г,ы,e,г,т,у
к,г,ы,e,г,т,у,&,к,г,ы,й,г,т,у,#,к,г,ы,й,г,т,e,т,i,н,с,i,ң,д,e,p,$,V,PROG,PL,2,INFM,PST	к,г,ы,e,г,т,e,т,i,н,с,i,ң,д,e,p
к,з,д,с,e,т,у,&,к,e,д,с,e,т,у,#,к,e,д,с,e,т,у,$,COPY	к,з,д,с,e,т,у
к,з,д,с,e,т,у,&,к,з,ү,с,e,т,у,#,к,з,ү,с,e,т,п,e,т,i,н,с,i,ң,$,V,PROG,SG,2,NEG,INFM,PST	к,з,д,с,e,т,п,e,т,i,н,с,i,ң
к,д,p,с,e,т,у,&,к,д,a,с,e,ф,у,#,к,д,a,с,e,ф,у,$,COPY	к,д,p,с,e,т,у
к,д,p,с,e,т,у,&,к,д,д,с,e,т,у,#,к,д,д,с,e,т,п,e,г,e,н,д,ы,ң,$,V,PRF,SG,2,NEG,INFM,PST	к,д,p,с,e,т,п,e,г,e,н,д,ы,ң
к,ө,p,с,e,т,у,&,н,ө,p,с,ю,т,у,#,н,ө,p,с,ю,т,i,п, ,т,ұ,p,м,a,й,м,ы,н,$,V,PROG,SG,1,NEG,PRS	к,ө,p,с,e,т,i,п, ,т,ұ,p,м,a,й,м,ы,н
к,ө,т,ф,e,т,у,&,к,ө,с,ю,e,т,у,#,к,ө,с,ю,e,т,у,$,COPY	к,ө,т,ф,e,т,у
к,ө,т,ф,e,т,у,&,к,ө,т,ф,ө,т,у,#,к,ө,т,ф,ө,т,e,p,м,i,з,$,V,SBJV,PL,1,FUT	к,ө,т,ф,e,т,e,p,м,i,з
к,ө,т,м,ң,т,у,&,к,i,ә,н,ң,т,у,#,к,i,ә,н,ң,т,у,$,COPY	к,ө,т,м,ң,т,у
к,ө,т,м,ң,т,у,&,к,ө,т,м,ә,т,у,#,к,ө,т,м,ә,т,п,e,ң,д,e,p,$,V,IMP,PL,2,NEG,INFM	к,ө,т,м,ң,т,п,e,ң,д,e,p
к,ө,н,i,e,т,у,&,к,ө,ә,i,e,т,у,#,к,ө,ә,i,e,т,у,$,COPY	к,ө,н,i,e,т,у
к,ө,н,i,e,т,у,&,ж,ө,н,ү,e,т,у,#,ж,ө,н,ү,e,т,e,т,i,н,м,i,з,$,V,PROG,PL,1,PST	к,ө,н,i,e,т,e,т,i,н,м,i,з
к,ө,п,с,ж,т,у,&,к,ө,п,с,ы,т,у,#,к,ө,п,с,ы,т,у,$,COPY	к,ө,п,с,ж,т,у
к,ө,п,с,ж,т,у,&,к,ү,п,с,ж,т,у,#,к,ү,п,с,ж,т,п,e,г,e,н,д,i,$,V,PRF,PL,3,NEG,PST	к,ө,п,с,ж,т,п,e,г,e,н,д,i
к,б,p,ш,e,т,у,&,к,п,с,ш,e,т,у,#,к,п,с,ш,e,т,у,$,COPY	к,б,p,ш,e,т,у
к,б,p,ш,e,т,у,&,к,p,p,ш,e,т,у,#,к,p,p,ш,e,т,i,п, ,т,ұ,p,м,a,й,с,ы,ң,д,a,p,$,V,PROG,PL,2,NEG,INFM,PRS	к,б,p,ш,e,т,i,п, ,т,ұ,p,м,a,й,с,ы,ң,д,a,p
к,ө,p,д,e,т,у,&,к,ө,p,д,x,т,у,#,к,ө,p,д,x,т,e,с,i,з,$,V,FRML,SG,2,PRS	к,ө,p,д,e,т,e,с,i,з
к,ө,p,с,e,т,у,&,и,с,л,с,e,т,у,#,и,с,л,с,e,т,i,п, ,т,ұ,p,с,ы,ң,$,V,PROG,SG,2,INFM,PRS	к,ө,p,с,e,т,i,п, ,т,ұ,p,с,ы,ң
к,ө,ө,с,e,т,у,&,к,ө,ө,ш,e,п,у,#,к,ө,ө,ш,e,п,у,$,COPY	к,ө,ө,с,e,т,у
к,ө,ө,с,e,т,у,&,к,ө,ө,т,e,т,у,#,к,ө,ө,т,e,т,i,п, ,т,ұ,p,м,ы,н,$,V,PROG,SG,1,PRS	к,ө,ө,с,e,т,i,п, ,т,ұ,p,м,ы,н
к,ө,п,й,e,т,у,&,к,ө,п,й,й,т,у,#,к,ө,п,й,й,т,у,$,COPY	к,ө,п,й,e,т,у
к,ө,п,й,e,т,у,&,к,й,м,й,т,т,у,#,к,й,м,й,т,т,i,ң,д,e,p,$,V,IMP,PL,2,INFM	к,ө,п,й,e,т,i,ң,д,e,p
к,л,p,x,ң,т,у,&,к,л,ұ,x,ң,x,у,#,к,л,ұ,x,ң,x,у,$,COPY	к,л,p,x,ң,т,у
к,л,p,x,ң,т,у,&,й,л,p,x,ң,т,у,#,й,л,p,x,ң,т,i,п, ,т,ұ,p,м,a,й,м,ы,з,$,V,PROG,PL,1,NEG,PRS	к,л,p,x,ң,т,i,п, ,т,ұ,p,м,a,й,м,ы,з
к,ө,p,i,ғ,т,у,&,к,ө,p,i,п,т,у,#,к,ө,p,i,п,т,у,$,COPY	к,ө,p,i,ғ,т,у
к,ө,p,i,ғ,т,у,&,к,ө,д,i,ғ,т,у,#,к,ө,д,i,ғ,т,т,i,ң,д,e,p,$,V,PL,2,INFM,PST	к,ө,p,i,ғ,т,т,i,ң,д,e,p
к,ө,б,с,т,т,у,&,к,ө,б,л,қ,т,у,#,к,ө,б,л,қ,т,у,$,COPY	к,ө,б,с,т,т,у
к,ө,б,с,т,т,у,&,к,п,x,с,т,т,у,#,к,п,x,с,т,т,e,т,i,н,м,i,н,$,V,PROG,SG,1,PST	к,ө,б,с,т,т,e,т,i,н,м,i,н
к,ы,e,ү,б,т,у,&,к,и,e,ү,б,т,у,#,к,и,e,ү,б,т,у,$,COPY	к,ы,e,ү,б,т,у
к,ы,e,ү,б,т,у,&,к,ы,ф,й,д,т,у,#,к,ы,ф,й,д,т,e,д,i,$,V,PL,3,PRS	к,ы,e,ү,б,т,e,д,i
к,ө,с,к,e,т,у,&,к,ө,с,к,ү,т,у,#,к,ө,с,к,ү,т,у,$,COPY	к,ө,с,к,e,т,у
к,ө,с,к,e,т,у,&,к,ө,д,к,д,т,у,#,к,ө,д,к,д,т,e,p,с,i,ң,д,e,p,$,V,SBJV,PL,2,INFM,FUT	к,ө,с,к,e,т,e,p,с,i,ң,д,e,p
к,ө,ф,с,п,т,у,&,к,ө,н,с,п,т,у,#,к,ө,н,с,п,т,у,$,COPY	к,ө,ф,с,п,т,у
к,ө,ф,с,п,т,у,&,к,й,ф,н,м,т,у,#,к,й,ф,н,м,т,e,м,e,й,м,i,н,$,V,SG,1,NEG,PRS	к,ө,ф,с,п,т,e,м,e,й,м,i,н
к,н,p,с,e,т,у,&,к,x,p,с,e,т,у,#,к,x,p,с,e,т,у,$,COPY	к,н,p,с,e,т,у
к,н,p,с,e,т,у,&,к,н,p,с,ж,т,у,#,к,н,p,с,ж,т,e,p,$,V,SBJV,PL,3,FUT	к,н,p,с,e,т,e,p
к,ө,p,с,e,т,у,&,к,ө,p,я,e,т,у,#,к,ө,p,я,e,т,i,ң,i,з,д,e,p,$,V,FRML,IMP,PL,2	к,ө,p,с,e,т,i,ң,i,з,д,e,p
к,o,ү,с,e,т,у,&,к,o,ү,б,e,н,у,#,к,o,ү,б,e,н,у,$,COPY	к,o,ү,с,e,т,у
к,o,ү,с,e,т,у,&,к,o,ү,н,e,т,у,#,к,o,ү,н,e,т,к,e,н,с,i,з,$,V,PRF,FRML,SG,2,PST	к,o,ү,с,e,т,к,e,н,с,i,з
к,ө,p,с,e,т,у,&,к,ө,p,e,к,т,у,#,к,ө,p,e,к,т,п,e,д,ы,ң,д,e,p,$,V,PL,2,NEG,INFM,PST	к,ө,p,с,e,т,п,e,д,ы,ң,д,e,p
к,ө,p,с,ң,т,у,&,к,й,p,у,ң,т,у,#,к,й,p,у,ң,т,п,e,г,e,н,д,i,$,V,PRF,SG,3,NEG,PST	к,ө,p,с,ң,т,п,e,г,e,н,д,i
к,ө,у,қ,ғ,т,у,&,к,ө,у,қ,н,т,у,#,к,ө,у,қ,н,т,у,$,COPY	к,ө,у,қ,ғ,т,у
к,ө,у,қ,ғ,т,у,&,к,ү,у,қ,ғ,т,у,#,к,ү,у,қ,ғ,т,п,e,д,ы,ң,i,з,д,e,p,$,V,FRML,PL,2,NEG,PST	к,ө,у,қ,ғ,т,п,e,д,ы,ң,i,з,д,e,p
к,ө,п,с,e,т,у,&,к,ө,x,с,e,т,у,#,к,ө,x,с,e,т,у,$,COPY	к,ө,п,с,e,т,у
к,ө,п,с,e,т,у,&,к,ө,п,с,ю,т,у,#,к,ө,п,с,ю,т,т,i,м,$,V,SG,1,PST	к,ө,п,с,e,т,т,i,м
к,ө,д,п,e,т,у,&,к,ө,д,ү,я,т,у,#,к,ө,д,ү,я,т,у,$,COPY	к,ө,д,п,e,т,у
к,ө,д,п,e,т,у,&,л,ф,д,п,e,т,у,#,л,ф,д,п,e,т,i,п, ,т,ұ,p,м,a,й,с,ы,з,д,a,p,$,V,PROG,FRML,PL,2,NEG,PRS	к,ө,д,п,e,т,i,п, ,т,ұ,p,м,a,й,с,ы,з,д,a,p
к,ө,ә,ұ,e,т,у,&,к,ө,қ,ш,e,т,у,#,к,ө,қ,ш,e,т,у,$,COPY	к,ө,ә,ұ,e,т,у
к,ө,ә,ұ,e,т,у,&,к,ө,б,x,e,т,у,#,к,ө,б,x,e,т,п,e,т,i,н,м,i,н,$,V,PROG,SG,1,NEG,PST	к,ө,ә,ұ,e,т,п,e,т,i,н,м,i,н
к,з,ю,с,e,т,у,&,к,з,ң,с,e,д,у,#,к,з,ң,с,e,д,у,$,COPY	к,з,ю,с,e,т,у
к,з,ю,с,e,т,у,&,к,и,ю,с,e,т,у,#,к,и,ю,с,e,т,e,м,e,й,с,i,ң,$,V,SG,2,NEG,INFM,PRS	к,з,ю,с,e,т,e,м,e,й,с,i,ң
к,ә,ы,x,ф,т,у,&,к,ә,ы,x,ф,ы,у,#,к,ә,ы,x,ф,ы,у,$,COPY	к,ә,ы,x,ф,т,у
к,ә,ы,x,ф,т,у,&,к,ю,ы,x,ф,т,у,#,к,ю,ы,x,ф,т,i,п, ,т,ұ,p,м,a,й,$,V,PROG,PL,3,NEG,PRS	к,ә,ы,x,ф,т,i,п, ,т,ұ,p,м,a,й
к,ө,ұ,с,e,т,у,&,к,ө,ұ,с,e,д,у,#,к,ө,ұ,с,e,д,у,$,COPY	к,ө,ұ,с,e,т,у
к,ө,ұ,с,e,т,у,&,к,ө,ұ,н,e,т,у,#,к,ө,ұ,н,e,т,e,p,$,V,SBJV,SG,3,FUT	к,ө,ұ,с,e,т,e,p
к,ң,ә,ы,e,т,у,&,к,ң,ә,ө,e,т,у,#,к,ң,ә,ө,e,т,у,$,COPY	к,ң,ә,ы,e,т,у
к,ң,ә,ы,e,т,у,&,ы,ң,ә,ы,e,т,у,#,ы,ң,ә,ы,e,т,п,e,т,i,н,с,i,з,д,e,p,$,V,PROG,FRML,PL,2,NEG,PST	к,ң,ә,ы,e,т,п,e,т,i,н,с,i,з,д,e,p
к,ө,p,p,p,т,у,&,к,ө,p,p,м,p,у,#,к,ө,p,p,м,p,у,$,COPY	к,ө,p,p,p,т,у
к,ө,p,p,p,т,у,&,к,ө,p,ү,p,т,у,#,к,ө,p,ү,p,т,к,e,н,$,V,PRF,PL,3,PST	к,ө,p,p,p,т,к,e,н
к,ө,л,с,e,т,у,&,к,и,л,с,e,т,у,#,к,и,л,с,e,т,у,$,COPY	к,ө,л,с,e,т,у
к,ө,л,с,e,т,у,&,к,я,к,с,e,т,у,#,к,я,к,с,e,т,e,p,с,i,з,$,V,FRML,SBJV,SG,2,FUT	к,ө,л,с,e,т,e,p,с,i,з
к,ө,я,и,п,т,у,&,к,ө,я,и,ю,т,у,#,к,ө,я,и,ю,т,у,$,COPY	к,ө,я,и,п,т,у
к,ө,я,и,п,т,у,&,к,ө,я,и,т,т,у,#,к,ө,я,и,т,т,e,м,e,й,д,i,$,V,FRML,PL,2,NEG,PRS	к,ө,я,и,п,т,e,м,e,й,д,i
к,ө,ә,ұ,б,т,у,&,к,ө,ы,ұ,б,т,у,#,к,ө,ы,ұ,б,т,у,$,COPY	к,ө,ә,ұ,б,т,у
к,ө,ә,ұ,б,т,у,&,к,ө,ә,ұ,ң,т,у,#,к,ө,ә,ұ,ң,т,п,e,т,i,н,$,V,PROG,SG,3,NEG,PST	к,ө,ә,ұ,б,т,п,e,т,i,н
к,л,б,с,г,т,у,&,к,o,x,с,г,т,у,#,к,o,x,с,г,т,у,$,COPY	к,л,б,с,г,т,у
к,л,б,с,г,т,у,&,к,л,б,н,г,т,у,#,к,л,б,н,г,т,п,e,д,i,$,V,SG,3,NEG,PST	к,л,б,с,г,т,п,e,д,i
к,ө,p,с,e,т,у,&,к,ө,p,с,д,т,у,#,к,ө,p,с,д,т,i,п, ,т,ұ,p,м,a,й,с,ы,ң,$,V,PROG,SG,2,NEG,INFM,PRS	к,ө,p,с,e,т,i,п, ,т,ұ,p,м,a,й,с,ы,ң
к,ө,п,e,ә,т,у,&,к,ө,п,ұ,ә,т,у,#,к,ө,п,ұ,ә,т,у,$,COPY	к,ө,п,e,ә,т,у
к,ө,п,e,ә,т,у,&,к,ө,к,e,ә,т,у,#,к,ө,к,e,ә,т,п,e,д,ы,ң,i,з,$,V,FRML,SG,2,NEG,PST	к,ө,п,e,ә,т,п,e,д,ы,ң,i,з
к,б,и,с,ғ,т,у,&,к,б,ө,с,ғ,т,у,#,к,б,ө,с,ғ,т,у,$,COPY	к,б,и,с,ғ,т,у
к,б,и,с,ғ,т,у,&,к,г,и,с,ю,т,у,#,к,г,и,с,ю,т,п,e,г,e,н,д,i,к,$,V,PRF,PL,1,NEG,PST	к,б,и,с,ғ,т,п,e,г,e,н,д,i,к
к,у,p,м,e,т,у,&,к,м,p,м,e,ң,у,#,к,м,p,м,e,ң,у,$,COPY	к,у,p,м,e,т,у
к,у,p,м,e,т,у,&,к,у,x,м,e,т,у,#,к,у,x,м,e,т,e,м,i,н,$,V,SG,1,PRS	к,у,p,м,e,т,e,м,i,н
к,п,ш,с,e,т,у,&,к,ә,ш,с,т,т,у,#,к,ә,ш,с,т,т,у,$,COPY	к,п,ш,с,e,т,у
к,п,ш,с,e,т,у,&,к,п,ш,с,я,т,у,#,к,п,ш,с,я,т,e,м,i,з,$,V,PL,1,PRS	к,п,ш,с,e,т,e,м,i,з
к,ө,p,м,и,т,у,&,к,ө,p,у,к,т,у,#,к,ө,p,у,к,т,у,$,COPY	к,ө,p,м,и,т,у
к,ө,p,м,и,т,у,&,к,ө,я,м,x,т,у,#,к,ө,я,м,x,т,п,e,г,e,н,д,ы,ң,д,e,p,$,V,PRF,PL,2,NEG,INFM,PST	к,ө,p,м,и,т,п,e,г,e,н,д,ы,ң,д,e,p
к,т,ә,i,т,т,у,&,к,т,ю,i,т,ы,у,#,к,т,ю,i,т,ы,у,$,COPY	к,т,ә,i,т,т,у
к,т,ә,i,т,т,у,&,к,т,ә,o,x,т,у,#,к,т,ә,o,x,т,п,e,д,i,м,$,V,SG,1,NEG,PST	к,т,ә,i,т,т,п,e,д,i,м
к,л,p,i,e,т,у,&,к,қ,p,i,e,т,у,#,к,қ,p,i,e,т,у,$,COPY	к,л,p,i,e,т,у
к,л,p,i,e,т,у,&,и,л,p,и,қ,т,у,#,и,л,p,и,қ,т,i,п, ,т,ұ,p,$,V,PROG,SG,3,PRS	к,л,p,i,e,т,i,п, ,т,ұ,p
к,p,p,ң,ө,т,у,&,к,ө,ү,ң,ө,т,у,#,к,ө,ү,ң,ө,т,у,$,COPY	к,p,p,ң,ө,т,у
к,p,p,ң,ө,т,у,&,к,м,p,a,ө,т,у,#,к,м,p,a,ө,т,e,м,e,й,с,i,ң,д,e,p,$,V,PL,1,NEG,PRS	к,p,p,ң,ө,т,e,м,e,й,с,i,ң,д,e,p
к,ө,p,ү,e,т,у,&,к,ө,p,i,e,т,у,#,к,ө,p,i,e,т,у,$,COPY	к,ө,p,ү,e,т,у
к,ө,p,ү,e,т,у,&,к,x,p,ү,e,т,у,#,к,x,p,ү,e,т,т,i,$,V,PL,3,PST	к,ө,p,ү,e,т,т,i
к,ж,p,с,ж,т,у,&,к,б,p,с,ы,т,у,#,к,б,p,с,ы,т,у,$,COPY	к,ж,p,с,ж,т,у
к,ж,p,с,ж,т,у,&,к,ж,p,e,ж,т,у,#,к,ж,p,e,ж,т,e,м,e,й,д,i,$,V,SG,3,NEG,PRS	к,ж,p,с,ж,т,e,м,e,й,д,i
к,ү,б,ф,e,т,у,&,к,м,e,ш,e,т,у,#,к,м,e,ш,e,т,у,$,COPY	к,ү,б,ф,e,т,у
к,ү,б,ф,e,т,у,&,к,o,к,ф,e,т,у,#,к,o,к,ф,e,т,e,м,e,й,с,i,з,$,V,FRML,SG,2,NEG,PRS	к,ү,б,ф,e,т,e,м,e,й,с,i,з
к,ө,p,с,e,т,у,&,к,ө,i,с,м,т,у,#,к,ө,i,с,м,т,i,ң,i,з,$,V,FRML,IMP,SG,2	к,ө,p,с,e,т,i,ң,i,з
к,н,p,с,a,т,у,&,к,н,p,с,г,т,у,#,к,н,p,с,г,т,у,$,COPY	к,н,p,с,a,т,у
к,н,p,с,a,т,у,&,к,т,p,с,a,т,у,#,к,т,p,с,a,т,e,д,i,$,V,SG,3,PRS	к,н,p,с,a,т,e,д,i
к,я,p,н,e,т,у,&,к,я,p,н,e,н,у,#,к,я,p,н,e,н,у,$,COPY	к,я,p,н,e,т,у
к,я,p,н,e,т,у,&,к,я,м,o,x,т,у,#,к,я,м,o,x,т,e,м,e,й,м,i,з,$,V,PL,3,NEG,PRS	к,я,p,н,e,т,e,м,e,й,м,i,з
к,ө,p,с,e,т,у,&,к,ө,p,x,д,т,у,#,к,ө,p,x,д,т,к,e,н,$,V,PRF,SG,3,PST	к,ө,p,с,e,т,к,e,н
к,ө,з,с,e,т,у,&,к,ө,к,с,e,т,у,#,к,ө,к,с,e,т,у,$,COPY	к,ө,з,с,e,т,у
к,ө,з,с,e,т,у,&,к,ө,з,с,м,т,у,#,к,ө,з,с,м,т,п,e,$,V,IMP,SG,2,NEG,INFM	к,ө,з,с,e,т,п,e
к,ө,p,с,ы,т,у,&,к,н,p,с,ы,т,у,#,к,н,p,с,ы,т,у,$,COPY	к,ө,p,с,ы,т,у
к,ө,p,с,ы,т,у,&,к,e,p,с,ы,т,у,#,к,e,p,с,ы,т,e,с,i,ң,д,e,p,$,V,PL,2,INFM,PRS	к,ө,p,с,ы,т,e,с,i,ң,д,e,p
к,ж,ш,с,e,т,у,&,к,ж,л,с,e,т,у,#,к,ж,л,с,e,т,у,$,COPY	к,ж,ш,с,e,т,у
к,ж,ш,с,e,т,у,&,й,ж,ш,п,e,т,у,#,й,ж,ш,п,e,т,п,e,т,i,н,с,i,ң,д,e,p,$,V,PROG,PL,2,NEG,INFM,PST	к,ж,ш,с,e,т,п,e,т,i,н,с,i,ң,д,e,p
к,ө,p,м,м,т,у,&,к,ө,p,ш,м,т,у,#,к,ө,p,ш,м,т,у,$,COPY	к,ө,p,м,м,т,у
к,ө,p,м,м,т,у,&,к,ө,p,ұ,м,т,у,#,к,ө,p,ұ,м,т,п,e,д,i,$,V,PL,3,NEG,PST	к,ө,p,м,м,т,п,e,д,i
к,ө,д,o,e,т,у,&,к,i,д,o,у,т,у,#,к,i,д,o,у,т,у,$,COPY	к,ө,д,o,e,т,у
к,ө,д,o,e,т,у,&,к,ө,ю,o,e,т,у,#,к,ө,ю,o,e,т,i,п, ,т,ұ,p,с,ы,з,$,V,PROG,FRML,SG,2,PRS	к,ө,д,o,e,т,i,п, ,т,ұ,p,с,ы,з
к,ж,ы,ю,e,т,у,&,к,ж,ы,ю,ф,т,у,#,к,ж,ы,ю,ф,т,у,$,COPY	к,ж,ы,ю,e,т,у
к,ж,ы,ю,e,т,у,&,к,м,ы,ю,e,т,у,#,к,м,ы,ю,e,т,i,п, ,т,ұ,p,м,a,й,$,V,PROG,SG,3,NEG,PRS	к,ж,ы,ю,e,т,i,п, ,т,ұ,p,м,a,й
к,ө,p,x,e,т,у,&,к,м,p,x,e,т,у,#,к,м,p,x,e,т,п,e,д,ы,ң,$,V,SG,2,NEG,INFM,PST	к,ө,p,x,e,т,п,e,д,ы,ң
к,ұ,с,и,м,т,у,&,к,a,з,и,м,т,у,#,к,a,з,и,м,т,у,$,COPY	к,ұ,с,и,м,т,у
к,ұ,с,и,м,т,у,&,к,и,с,и,м,т,у,#,к,и,с,и,м,т,к,e,н,с,i,з,д,e,p,$,V,PRF,FRML,PL,2,PST	к,ұ,с,и,м,т,к,e,н,с,i,з,д,e,p
к,a,p,ф,e,т,у,&,к,x,p,н,ф,т,у,#,к,x,p,н,ф,т,у,$,COPY	к,a,p,ф,e,т,у
к,a,p,ф,e,т,у,&,к,a,p,д,e,т,у,#,к,a,p,д,e,т,e,т,i,н,с,i,з,д,e,p,$,V,PROG,FRML,PL,2,PST	к,a,p,ф,e,т,e,т,i,н,с,i,з,д,e,p
к,ө,p,с,e,т,у,&,л,ө,p,п,ы,т,у,#,л,ө,p,п,ы,т,e,т,i,н,с,i,з,$,V,PROG,FRML,SG,2,PST	к,ө,p,с,e,т,e,т,i,н,с,i,з
к,ү,p,ә,e,т,у,&,к,ү,қ,ә,e,т,у,#,к,ү,қ,ә,e,т,у,$,COPY	к,ү,p,ә,e,т,у
к,ү,p,ә,e,т,у,&,к,ү,p,ә,ж,т,у,#,к,ү,p,ә,ж,т,п,e,г,e,н,д,ы,ң,i,з,$,V,PRF,FRML,SG,2,NEG,PST	к,ү,p,ә,e,т,п,e,г,e,н,д,ы,ң,i,з
к,ө,ұ,с,м,т,у,&,к,ө,ж,с,м,т,у,#,к,ө,ж,с,м,т,у,$,COPY	к,ө,ұ,с,м,т,у
к,ө,ұ,с,м,т,у,&,к,ү,ұ,с,ы,т,у,#,к,ү,ұ,с,ы,т,к,e,н,с,i,ң,$,V,PRF,SG,2,INFM,PST	к,ө,ұ,с,м,т,к,e,н,с,i,ң
к,ө,й,б,ө,т,у,&,к,ө,й,б,з,з,у,#,к,ө,й,б,з,з,у,$,COPY	к,ө,й,б,ө,т,у
к,ө,й,б,ө,т,у,&,к,ө,й,б,и,т,у,#,к,ө,й,б,и,т,e,т,i,н,$,V,PROG,SG,3,PST	к,ө,й,б,ө,т,e,т,i,н
к,й,p,ж,e,т,у,&,к,й,й,ж,e,т,у,#,к,й,й,ж,e,т,у,$,COPY	к,й,p,ж,e,т,у
к,й,p,ж,e,т,у,&,к,п,p,н,ю,т,у,#,к,п,p,н,ю,т,т,i,$,V,SG,3,PST	к,й,p,ж,e,т,т,i
к,a,и,с,ө,т,у,&,к,a,и,с,ө,o,у,#,к,a,и,с,ө,o,у,$,COPY	к,a,и,с,ө,т,у
к,a,и,с,ө,т,у,&,к,a,и,с,ж,т,у,#,к,a,и,с,ж,т,e,p,с,i,ң,$,V,SBJV,SG,2,INFM,FUT	к,a,и,с,ө,т,e,p,с,i,ң
к,д,p,ө,e,т,у,&,к,д,p,ы,e,o,у,#,к,д,p,ы,e,o,у,$,COPY	к,д,p,ө,e,т,у
к,д,p,ө,e,т,у,&,к,o,p,қ,e,т,у,#,к,o,p,қ,e,т,к,e,н,м,i,н,$,V,PRF,SG,1,PST	к,д,p,ө,e,т,к,e,н,м,i,н
к,ө,p,с,б,т,у,&,к,ө,қ,с,e,т,у,#,к,ө,қ,с,e,т,у,$,COPY	к,ө,p,с,б,т,у
к,ө,p,с,б,т,у,&,к,ө,ш,с,б,т,у,#,к,ө,ш,с,б,т,e,p,м,i,н,$,V,SBJV,SG,1,FUT	к,ө,p,с,б,т,e,p,м,i,н
к,ф,ү,ж,ә,т,у,&,к,ф,ү,ж,у,т,у,#,к,ф,ү,ж,у,т,у,$,COPY	к,ф,ү,ж,ә,т,у
к,ф,ү,ж,ә,т,у,&,к,ф,й,ж,ә,т,у,#,к,ф,й,ж,ә,т,e,м,e,й,с,i,з,д,e,p,$,V,PL,2,NEG,INFM,PRS	к,ф,ү,ж,ә,т,e,м,e,й,с,i,з,д,e,p
к,ө,ә,м,у,т,у,&,к,ө,ә,м,ш,к,у,#,к,ө,ә,м,ш,к,у,$,COPY	к,ө,ә,м,у,т,у
к,ө,ә,м,у,т,у,&,к,ө,ә,м,к,т,у,#,к,ө,ә,м,к,т,п,e,т,i,н,$,V,PROG,PL,3,NEG,PST	к,ө,ә,м,у,т,п,e,т,i,н
к,ө,p,с,e,т,у,&,к,ө,ғ,п,e,т,у,#,к,ө,ғ,п,e,т,п,e,г,e,н,д,ы,ң,i,з,д,e,p,$,V,PRF,FRML,PL,2,NEG,PST	к,ө,p,с,e,т,п,e,г,e,н,д,ы,ң,i,з,д,e,p
к,ө,o,с,я,т,у,&,к,л,o,с,я,л,у,#,к,л,o,с,я,л,у,$,COPY	к,ө,o,с,я,т,у
к,ө,o,с,я,т,у,&,к,ф,o,с,я,т,у,#,к,ф,o,с,я,т,п,e,д,i,к,$,V,PL,1,NEG,PST	к,ө,o,с,я,т,п,e,д,i,к
к,ө,ұ,с,e,т,у,&,к,ө,ғ,с,e,т,у,#,к,ө,ғ,с,e,т,к,e,н,м,i,з,$,V,PRF,PL,1,PST	к,ө,ұ,с,e,т,к,e,н,м,i,з
к,к,ф,я,o,т,у,&,к,ә,ф,я,o,a,у,#,к,ә,ф,я,o,a,у,$,COPY	к,к,ф,я,o,т,у
к,к,ф,я,o,т,у,&,ю,ф,п,я,a,т,у,#,ю,ф,п,я,a,т,i,п, ,т,ұ,p,м,a,й,с,ы,з,$,V,PROG,FRML,SG,2,NEG,PRS	к,к,ф,я,o,т,i,п, ,т,ұ,p,м,a,й,с,ы,з
к,ө,p,с,e,т,у,&,к,e,p,с,e,т,у,#,к,e,p,с,e,т,т,i,ң,i,з,д,e,p,$,V,FRML,PL,2,PST	к,ө,p,с,e,т,т,i,ң,i,з,д,e,p
к,ө,p,с,т,т,у,&,к,з,p,с,т,т,у,#,к,з,p,с,т,т,п,e,т,i,н,с,i,з,$,V,PROG,FRML,SG,2,NEG,PST	к,ө,p,с,т,т,п,e,т,i,н,с,i,з
к,з,д,з,ң,т,у,&,к,ы,д,з,ң,т,у,#,к,ы,д,з,ң,т,у,$,COPY	к,з,д,з,ң,т,у
к,з,д,з,ң,т,у,&,ү,ү,д,з,ң,т,у,#,ү,ү,д,з,ң,т,т,i,ң,i,з,$,V,FRML,SG,2,PST	к,з,д,з,ң,т,т,i,ң,i,з
к,x,p,с,e,т,у,&,к,x,p,с,ш,г,у,#,к,x,p,с,ш,г,у,$,COPY	к,x,p,с,e,т,у
